Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
SÃO RAIMUNDO,00653000,2,18,ALTAMIRA,PARÁ,ELETRONORTE,-6.6833,-53.9833,1976/05/09,1980/12/02,5,2.5,1,80.0
MANOEL JORGE  (TERRA PRETA),00654000,2,18,ALTAMIRA,PARÁ,ANA,-6.2022,-54.0728,1999/09/24,2019/07/31,21,12.7,11,47.6
SANTA JÚLIA,00655000,2,17,ITAITUBA,PARÁ,ANA,-6.7833,-55.45,1977/12/13,1986/10/20,10,10.6,4,60.0
KM 1027 DA BR-163,00655001,2,17,ITAITUBA,PARÁ,ANA,-7.5108,-55.2636,1982/06/22,2019/04/30,38,5.5,21,44.7
GARIMPO DO PATROCÍNIO,00655002,2,17,ITAITUBA,PARÁ,ANA,-6.9678,-56.4728,1985/11/22,2013/03/31,29,14.2,14,51.7
JAMANXIM,00655003,2,17,ITAITUBA,PARÁ,ANA,-5.4556,-55.87,1993/06/19,2019/08/27,27,8.4,13,51.9
JARDIM DO OURO,00655004,2,17,ITAITUBA,PARÁ,ANA,-6.2575,-55.7733,1999/08/03,2019/07/31,21,6.4,8,61.9
TRAVESSÃO DO PATAUA,00656000,2,17,ITAITUBA,PARÁ,ANA,-6.8,-56.0333,1981/08/01,1982/12/31,2,7.9,0,100.0
PORTO ALEGRE,00656001,2,17,ITAITUBA,PARÁ,ELETRONORTE,-6.9136,-56.7531,1982/11/27,1982/12/31,1,0.0,0,100.0
CREPORIZÃO (EX. - MUNDICO COELHO),00656003,2,17,ITAITUBA,PARÁ,ANA,-6.8,-56.7333,1999/08/01,2013/03/31,15,12.2,7,53.3
JACAREACANGA,00657000,2,17,JACAREACANGA,PARÁ,ANA,-6.2356,-57.7753,1982/01/01,2019/08/29,38,2.0,27,28.9
CABRUA,00657001,2,17,ITAITUBA,PARÁ,ANA,-6.9333,-57.5333,1982/01/16,1982/10/31,1,2.8,0,100.0
SANTARÉM SUCUNDURI,00658000,2,15,APUÍ,AMAZONAS,ANA,-6.7953,-59.0408,1975/05/02,2019/10/31,45,3.7,34,24.4
SERINGAL JENIPAPO,00660000,2,15,NOVO ARIPUANÃ,AMAZONAS,ANA,-6.0028,-60.1853,1977/12/13,2019/10/31,43,3.2,32,25.6
NATAL (TIGRE),00660001,2,15,NOVO ARIPUANÃ,AMAZONAS,ANA,-6.9333,-60.5167,1992/07/17,2013/04/30,22,6.7,10,54.5
SÃO RAFAEL,00661000,2,15,HUMAITÁ,AMAZONAS,ANA,-6.2478,-61.8392,1977/11/27,2013/05/29,37,2.2,22,40.5
NOVA ESPERANÇA,00661001,2,15,MANICORÉ,AMAZONAS,ANA,-6.3606,-61.7667,1982/03/30,2019/10/31,38,2.1,29,23.7
FAZENDA NOVA ESTRELA,00662000,2,15,MANICORÉ,AMAZONAS,ANA,-6.3667,-62.7833,1991/10/15,1992/01/31,2,0.0,0,100.0
JUMA,00662001,2,15,HUMAITÁ,AMAZONAS,ANA,-7.0083,-62.7872,1992/10/29,2019/10/31,28,4.9,20,28.6
BACABA,00664000,2,13,TAPAUÁ,AMAZONAS,ANA,-6.325,-64.8911,1979/01/01,2019/11/30,41,26.3,12,70.7
CANUTAMA,00664001,2,13,CANUTAMA,AMAZONAS,ANA,-6.5389,-64.3858,1980/07/14,2019/11/30,40,1.2,32,20.0
FAZENDA BOA VISTA,00665000,2,13,TAPAUÁ,AMAZONAS,ANA,-6.4667,-65.9167,1982/06/21,1983/06/30,2,19.5,0,100.0
